fiscal_year,fiscal_quarter,period,accounts_payable,accrued_expenses,cash_and_equivalents,long_term_debt,short_term_debt,marketable_securities,total_assets,total_current_assets,total_current_liabilities,total_liabilities,stockholders_equity,deferred_revenue,capex,operating_cash_flow,depreciation_and_amortization,stock_based_compensation,net_income,cost_of_revenue,gross_profit,pretax_income,interest_expense,interest_income,operating_income,tax_expense,r_and_d,sga,revenue
2020,3,2020Q3,2.0,3.0,21.0,1.0,0.4,,47.0,41.0,12.0,15.0,33.0,5.0,,,,,,,,,,,,,,,
2020,4,2020Q4,2.0,3.0,21.0,1.0,0.4,,47.0,41.0,12.0,15.0,33.0,5.0,,,,,,,,,,,,,,,
2021,3,2021Q3,2.0,4.0,9.0,30.0,0.4,,29.0,16.0,10.0,48.0,-18.0,3.0,,,,,-4.0,0.3,1.0,-4.0,-0.2,,-10.0,,6.0,4.0,1.0
2021,4,2021Q4,2.0,4.0,9.0,30.0,0.4,,29.0,16.0,10.0,48.0,-18.0,3.0,0.3,-7.0,0.4,1.0,-12.0,0.9,2.0,-12.0,-1.0,,-11.0,,6.0,6.0,2.0
2022,1,2022Q1,2.0,8.0,10.0,13.0,21.0,,36.0,23.0,36.0,56.0,-20.0,3.0,0.1,-10.0,0.4,0.8,-12.0,0.6,1.0,-12.0,-0.1,,-11.0,,7.0,5.0,2.0
2022,2,2022Q2,2.0,8.0,10.0,13.0,21.0,,36.0,23.0,36.0,56.0,-20.0,3.0,0.1,-12.0,0.3,0.8,-12.0,0.6,0.8,-12.0,-1.0,,-12.0,,7.0,6.0,1.0
2022,3,2022Q3,2.0,5.0,14.0,,3.0,,34.0,21.0,14.0,25.0,,2.0,0.1,-13.0,0.3,2.0,-12.0,0.7,1.0,-12.0,-0.6,,-15.0,,8.0,9.0,2.0
2022,4,2022Q4,4.0,7.0,7.0,31.0,2.0,,27.0,14.0,16.0,56.0,-29.0,2.0,0.2,-11.0,0.4,5.0,-18.0,1.0,1.0,-18.0,-0.1,,-21.0,,11.0,12.0,2.0
2023,1,2023Q1,6.0,10.0,9.0,31.0,1.0,,27.0,15.0,18.0,58.0,-31.0,2.0,0.1,-14.0,0.3,7.0,-24.0,1.0,0.4,-24.0,-0.2,,-25.0,,11.0,14.0,2.0
2023,2,2023Q2,4.0,11.0,8.0,32.0,16.0,,25.0,13.0,34.0,76.0,-52.0,3.0,0.0,-15.0,0.3,5.0,-26.0,1.0,0.7,-26.0,-0.6,,-21.0,,10.0,12.0,2.0
2023,3,2023Q3,2.0,10.0,53.0,33.0,30.0,,70.0,58.0,44.0,85.0,-15.0,2.0,0.1,-17.0,0.2,6.0,-16.0,1.0,2.0,-16.0,-1.0,,-18.0,,9.0,10.0,3.0
2023,4,2023Q4,1.0,5.0,41.0,64.0,0.4,,59.0,47.0,11.0,84.0,-24.0,3.0,0.4,-15.0,0.2,5.0,-16.0,0.9,2.0,-16.0,2.0,,-17.0,,8.0,11.0,3.0
2024,1,2024Q1,1.0,6.0,27.0,63.0,0.4,,49.0,34.0,11.0,86.0,-37.0,2.0,0.3,-12.0,0.2,4.0,-17.0,0.8,2.0,-17.0,-1.0,,-18.0,,9.0,11.0,2.0
2024,2,2024Q2,1.0,5.0,41.0,31.0,33.0,,62.0,47.0,43.0,83.0,-22.0,3.0,0.5,-14.0,0.3,4.0,-18.0,0.8,1.0,-18.0,-1.0,,-19.0,,8.0,12.0,2.0
2024,3,2024Q3,0.7,7.0,29.0,32.0,14.0,,50.0,35.0,26.0,66.0,-17.0,3.0,0.3,-18.0,0.3,4.0,-23.0,0.8,1.0,-23.0,-1.0,,-21.0,,9.0,13.0,2.0
2024,4,2024Q4,0.8,9.0,178.0,30.0,0.3,,200.0,185.0,30.0,137.0,63.0,19.0,1.0,2.0,0.3,4.0,-89.0,0.8,1.0,-89.0,-0.4,,-20.0,,10.0,12.0,2.0
2025,1,2025Q1,1.0,7.0,304.0,30.0,0.3,,326.0,311.0,15.0,118.0,207.0,6.0,0.4,-19.0,0.4,4.0,-5.0,1.0,14.0,-5.0,-0.2,3.0,-11.0,,10.0,15.0,15.0
2025,2,2025Q2,1.0,12.0,819.0,32.0,,,844.0,829.0,19.0,149.0,694.0,5.0,0.7,-15.0,0.3,7.0,-167.0,1.0,2.0,-167.0,-0.2,,-27.0,,13.0,16.0,3.0
2025,3,2025Q3,1.0,9.0,836.0,32.0,0.1,,866.0,848.0,16.0,195.0,671.0,3.0,1.0,-19.0,0.4,6.0,-140.0,1.0,3.0,-140.0,-0.2,,-28.0,,14.0,16.0,4.0
2025,4,2025Q4,1.0,16.0,635.0,36.0,0.1,249.0,916.0,896.0,21.0,64.0,852.0,3.0,2.0,-18.0,0.5,6.0,-50.0,1.0,2.0,-50.0,-3.0,,-35.0,,14.0,23.0,3.0
2026,1,2026Q1,2.0,15.0,338.0,35.0,0.1,250.0,1200.0,607.0,28.0,76.0,1124.0,9.0,1.0,-45.0,4.0,8.0,-18.0,1.0,2.0,-47.0,-0.3,6.0,-55.0,-28.0,26.0,31.0,3.0
