"company","ticker","category","currency","share_price","market_cap","enterprise_value","cash","total_debt","net_debt","revenue_ltm","gross_profit","gross_margin","ebitda","ebitda_margin","revenue_growth","beta","average_volume","shares_outstanding","ev_sales_ltm","include_in_final_peer_group","notes"
"D-Wave Quantum Inc.","QBTS","Subject company","USD","21.295","7888.230912","7728.783872","588.395008","46.82","-541.5750079999999","12.444","8.247","0.6627290260366441","-138.814","-11.155094824815171","-0.809","NA","26851801.0","367250324.0","621.0851713275474","FALSE","Missing/unavailable fields: beta Subject company; excluded from final peer group."
"IonQ, Inc.","IONQ","Quantum pure play","USD","54.86","20477.589504","18865.297408","2033.469952","30.443","-2003.026952","187.118","67.569","0.3611036885815368","-662.371008","-3.5398572451608077","7.547","3.052","27873065.0","373269948.0","100.820324116333","TRUE","All requested fields collected or calculated from Yahoo Finance fields."
"Rigetti Computing, Inc.","RGTI","Quantum pure play","USD","18.35","6099.518464","5927.382016","418.246016","6.783","-411.463016","10.016","3.0","0.2995207667731629","-80.024","-7.98961661341853","1.989","1.801","28746363.0","332398807.0","591.7913354632587","TRUE","All requested fields collected or calculated from Yahoo Finance fields."
"Quantum Computing Inc.","QUBT","Quantum pure play","USD","11.1","2503.438592","1676.135168","986.112","5.445","-980.6669999999999","4.334","-0.667","-0.15389940009229353","-57.941","-13.368943239501617","93.641","3.698","14789243.0","225534987.0","386.74092478080297","TRUE","All requested fields collected or calculated from Yahoo Finance fields."
"Arqit Quantum Inc.","ARQQ","Quantum/security","USD","14.025","219.517312","189.127776","36.978","0.719","-36.259","0.53","0.2","0.37735849056603776","-34.692","-65.4566037735849","NA","2.336","291556.0","15651859.0","356.8448603773585","FALSE","Missing/unavailable fields: revenue_growth Broader technology peers are used only as a cross-check because their business models are less directly comparable."
"NVIDIA Corporation","NVDA","AI infrastructure","USD","226.56","5506540.765184","5313809.874944","62556.000256","11411.999744","-51144.000512","215938.00704","153462.996992","0.7106808064759659","133230.002176","0.6169826423901408","0.732","2.244","170639303.0","24300000000.0","24.608034258460478","FALSE","All requested fields collected or calculated from Yahoo Finance fields. Broader technology peers are used only as a cross-check because their business models are less directly comparable."
"Palantir Technologies Inc.","PLTR","Advanced software/AI","USD","128.8277","308840.169472","318326.603776","8026.413056","211.976992","-7814.436064","5224.17408","4392.16896","0.8407393958816931","2018.253056","0.3863295948974197","0.847","1.521","48862658.0","2296071334.0","60.9333837083775","FALSE","All requested fields collected or calculated from Yahoo Finance fields. Broader technology peers are used only as a cross-check because their business models are less directly comparable."
"Snowflake Inc.","SNOW","Cloud software","USD","152.845","52838.518784","51190.272","4029.686016","2741.114112","-1288.571904","4683.945984","3146.140928","0.6716859969664415","-1286.213248","-0.2746003588413713","0.301","1.079","6890985.0","345700000.0","10.928877526526147","FALSE","All requested fields collected or calculated from Yahoo Finance fields. Broader technology peers are used only as a cross-check because their business models are less directly comparable."
"Cloudflare, Inc.","NET","Cloud infrastructure","USD","193.07","68243.730432","65384.620032","4163.877888","3524.536064","-639.3418240000001","2328.604928","1707.497984","0.7332707937995053","-36.283","-0.015581432283218117","0.335","1.673","4522703.0","319528350.0","28.078880726305837","FALSE","All requested fields collected or calculated from Yahoo Finance fields. Broader technology peers are used only as a cross-check because their business models are less directly comparable."
